HousingCA,UnemployCA,OilPrice,MountlySupply(One hundred billion Dollar),Gold Price (hundred Dollar),CAPHCI,CASLIND,S&P Adj Close,Steel&Iron Index
68.41,8.50,16.88,35.019,3.786,105.09,1.62,470.420013,127.2
68.41,8.10,17.44,34.811,3.766,105.42,1.66,487.390015,128.4
68.29,8.00,17.35,34.978,3.821,105.64,1.23,500.709991,129.1
68.09,8.00,18.77,35.285,3.910,106.00,1.55,514.710022,129.8
68.00,7.60,18.43,35.129,3.852,106.22,1.45,533.400024,129.9
67.92,7.80,17.33,35.524,3.876,106.58,1.64,544.75,129.7
67.97,8.30,16.06,35.768,3.862,107.02,2.21,562.059998,129.9
67.89,7.80,16.49,35.925,3.837,107.34,2.10,561.880005,130.4
67.43,7.70,16.77,36.019,3.831,107.69,1.91,584.409973,129.4
67.10,7.50,16.18,36.093,3.831,108.13,2.15,581.5,128.4
66.94,7.70,16.82,36.306,3.853,108.45,2.10,605.369995,126.9
66.72,7.30,17.93,36.610,3.874,108.91,2.22,615.929993,126.6
66.63,8.50,17.79,36.590,3.995,109.24,2.01,636.02002,127
66.68,8.10,17.69,36.549,4.048,109.70,1.89,640.429993,126.3
66.95,8.00,19.46,37.022,3.962,110.11,2.15,645.5,125.7
67.35,7.50,20.78,37.289,3.929,110.51,2.13,654.169983,125.9
67.56,7.10,19.12,36.975,3.919,110.93,2.04,669.119995,126.3
67.83,7.10,18.56,37.287,3.853,111.46,2.46,670.630005,126.2
67.98,7.60,19.56,37.421,3.835,111.87,2.43,639.950012,125.8
67.83,6.80,20.19,37.498,3.874,112.21,2.04,651.98999,126.2
67.71,6.70,22.14,37.516,3.831,112.73,2.27,687.330017,126.4
67.55,6.60,23.43,37.616,3.811,113.11,2.26,705.27002,125.5
67.35,6.90,22.25,37.975,3.779,113.52,2.17,757.02002,124.3
67.18,6.50,23.51,38.376,3.690,114.05,2.27,740.73999,124.2
67.14,7.50,23.29,38.364,3.551,114.56,2.54,786.159973,125.5
67.32,7.20,20.54,38.315,3.466,115.11,2.79,790.820007,126.6
67.83,7.00,19.42,38.696,3.518,115.68,2.83,757.119995,126.2
68.45,6.40,17.98,39.023,3.445,116.25,2.92,801.340027,125.8
68.91,5.90,19.47,38.660,3.438,116.81,2.85,848.280029,126
69.28,6.30,18.02,38.960,3.408,117.25,2.50,885.140015,126.1
69.63,6.50,18.45,39.148,3.241,117.84,2.52,954.309998,126.7
69.83,6.10,18.79,39.498,3.240,118.28,2.26,899.469971,126.8
70.00,6.10,18.73,39.582,3.228,118.90,2.59,947.280029,126.8
70.28,5.80,20.12,39.736,3.249,119.37,2.50,914.619995,126.8
70.61,5.80,19.16,40.130,3.060,120.02,2.71,955.400024,127.2
70.85,5.80,17.24,40.527,2.887,120.54,2.67,970.429993,127
71.01,6.60,15.07,40.609,2.891,121.12,2.63,980.280029,127
71.72,6.30,14.18,40.774,2.975,121.68,2.45,1049.339966,126.6
72.81,6.50,13.24,41.265,2.959,122.23,2.49,1101.75,125.7
73.99,5.70,13.39,41.690,3.083,122.90,2.61,1111.75,125.5
75.12,5.50,13.97,41.387,2.991,123.44,2.63,1090.819946,125.3
75.92,5.90,12.48,41.698,2.923,123.87,2.26,1133.839966,125
76.49,6.20,12.72,41.878,2.929,124.46,2.36,1120.670044,124.2
76.87,5.90,12.49,42.155,2.841,125.13,2.96,957.280029,122.6
77.20,5.80,13.8,42.500,2.890,125.63,2.68,1017.01001,120.5
77.64,5.80,13.26,42.868,2.959,126.24,2.58,1098.670044,117.6
77.90,5.70,11.88,43.413,2.941,126.81,2.49,1163.630005,115.6
78.06,5.40,10.41,43.955,2.917,127.34,2.33,1229.22998,114.5
78.49,6.10,11.32,44.054,2.871,127.87,2.20,1279.640015,113.9
79.22,5.90,10.75,44.153,2.873,128.41,2.19,1238.329956,113.8
80.21,5.70,12.86,44.532,2.860,128.83,1.87,1286.369995,112.9
81.38,5.30,15.73,44.993,2.826,129.44,2.19,1335.180054,112.8
82.57,4.70,16.12,44.594,2.764,130.03,2.60,1301.839966,113.1
83.49,5.20,16.24,44.875,2.613,130.52,2.51,1372.709961,113.8
84.13,5.50,18.75,45.122,2.561,131.21,2.54,1328.719971,113.4
84.66,5.00,20.21,45.340,2.567,131.75,2.54,1320.410034,114
85.10,5.00,22.37,45.472,2.647,132.35,2.48,1282.709961,113.9
85.54,4.90,22.19,45.684,3.107,133.12,2.85,1362.930054,114.3
86.09,4.90,24.22,46.053,2.932,133.71,2.66,1388.910034,115.5
87.56,4.70,25.01,46.600,2.831,134.35,2.51,1469.25,117.1
88.50,5.40,25.21,46.689,2.843,134.99,2.48,1394.459961,118.3
88.85,5.40,27.15,46.686,2.999,135.62,2.56,1366.420044,118.2
90.31,5.40,27.49,47.298,2.864,136.12,2.26,1498.579956,118.4
91.96,4.80,23.45,47.988,2.797,136.78,2.48,1452.430054,119
93.47,4.80,27.23,47.242,2.752,137.54,2.92,1420.599976,118.4
94.67,5.00,29.62,47.473,2.857,138.09,2.45,1454.599976,117.6
95.64,5.30,28.16,47.640,2.816,138.78,2.34,1430.829956,117.1
96.47,5.00,29.41,47.956,2.745,139.25,2.16,1517.680054,116.2
97.32,4.60,32.08,48.306,2.737,139.87,2.13,1436.51001,116.1
98.38,4.50,31.4,48.442,2.700,140.41,2.04,1429.400024,114.7
99.28,4.70,32.33,48.723,2.660,140.79,1.69,1314.949951,112.8
100.00,4.40,25.28,49.455,2.715,141.03,0.99,1320.280029,112.4
100.91,5.30,25.95,49.716,2.655,141.39,1.12,1366.01001,112.1
102.15,5.10,27.24,50.006,2.619,141.51,0.58,1239.939941,110.6
