HosingNY,UnemployNY,OilPrice,MountlySupply(One hundred billion Dollar),Gold Price (hundred Dollar),NYPHCI,NYSLIND,S&P Adj Close,Steel&Iron Index
76.65,7.00,16.88,35.019,3.786,106.21,0.75,470.420013,127.2
76.54,6.70,17.44,34.811,3.766,106.34,0.40,487.390015,128.4
76.45,6.60,17.35,34.978,3.821,106.49,0.43,500.709991,129.1
76.50,6.40,18.77,35.285,3.910,106.41,0.04,514.710022,129.8
76.63,6.20,18.43,35.129,3.852,106.56,0.14,533.400024,129.9
76.86,6.20,17.33,35.524,3.876,106.47,-0.13,544.75,129.7
77.14,6.50,16.06,35.768,3.862,106.62,0.08,562.059998,129.9
77.19,6.30,16.49,35.925,3.837,106.73,0.56,561.880005,130.4
76.90,6.20,16.77,36.019,3.831,106.86,0.63,584.409973,129.4
76.59,6.00,16.18,36.093,3.831,106.93,0.59,581.5,128.4
76.46,6.00,16.82,36.306,3.853,107.22,0.97,605.369995,126.9
76.32,6.00,17.93,36.610,3.874,107.31,1.17,615.929993,126.6
76.25,6.90,17.79,36.590,3.995,107.46,0.90,636.02002,127
76.25,6.80,17.69,36.549,4.048,107.66,1.02,640.429993,126.3
76.08,6.80,19.46,37.022,3.962,107.91,1.12,645.5,125.7
76.15,6.40,20.78,37.289,3.929,107.92,0.63,654.169983,125.9
76.87,6.30,19.12,36.975,3.919,108.37,1.39,669.119995,126.3
77.81,6.00,18.56,37.287,3.853,108.52,1.68,670.630005,126.2
78.36,6.40,19.56,37.421,3.835,108.88,1.71,639.950012,125.8
78.43,5.80,20.19,37.498,3.874,109.26,1.85,651.98999,126.2
78.28,5.70,22.14,37.516,3.831,109.48,1.61,687.330017,126.4
78.02,5.70,23.43,37.616,3.811,109.85,1.49,705.27002,125.5
77.75,6.00,22.25,37.975,3.779,109.82,0.81,757.02002,124.3
77.39,6.10,23.51,38.376,3.690,110.04,0.56,740.73999,124.2
77.09,7.30,23.29,38.364,3.551,110.17,0.83,786.159973,125.5
77.05,7.20,20.54,38.315,3.466,110.55,1.37,790.820007,126.6
77.25,7.00,19.42,38.696,3.518,110.71,1.41,757.119995,126.2
77.77,6.40,17.98,39.023,3.445,111.09,1.53,801.340027,125.8
78.48,6.30,19.47,38.660,3.438,111.38,1.60,848.280029,126
79.19,6.50,18.02,38.960,3.408,111.92,2.04,885.140015,126.1
79.67,6.60,18.45,39.148,3.241,112.24,1.91,954.309998,126.7
79.61,6.30,18.79,39.498,3.240,112.77,2.11,899.469971,126.8
79.21,6.20,18.73,39.582,3.228,113.27,2.36,947.280029,126.8
78.92,5.90,20.12,39.736,3.249,113.82,2.40,914.619995,126.8
78.93,5.70,19.16,40.130,3.060,114.13,1.74,955.400024,127.2
79.03,5.80,17.24,40.527,2.887,114.65,1.83,970.429993,127
79.02,6.70,15.07,40.609,2.891,115.11,2.15,980.280029,127
78.89,6.60,14.18,40.774,2.975,115.60,2.13,1049.339966,126.6
78.99,6.40,13.24,41.265,2.959,116.07,2.18,1101.75,125.7
79.67,5.40,13.39,41.690,3.083,116.53,1.98,1111.75,125.5
80.84,5.30,13.97,41.387,2.991,117.02,2.17,1090.819946,125.3
82.15,5.30,12.48,41.698,2.923,117.55,2.04,1133.839966,125
83.01,5.60,12.72,41.878,2.929,117.89,1.69,1120.670044,124.2
83.34,5.20,12.49,42.155,2.841,118.29,1.45,957.280029,122.6
83.26,5.30,13.8,42.500,2.890,118.70,1.72,1017.01001,120.5
83.14,5.30,13.26,42.868,2.959,119.09,1.79,1098.670044,117.6
83.48,5.10,11.88,43.413,2.941,119.75,2.43,1163.630005,115.6
83.94,5.10,10.41,43.955,2.917,120.17,2.07,1229.22998,114.5
84.22,5.90,11.32,44.054,2.871,120.92,2.79,1279.640015,113.9
84.49,6.10,10.75,44.153,2.873,121.37,2.50,1238.329956,113.8
84.93,5.50,12.86,44.532,2.860,121.83,2.20,1286.369995,112.9
85.69,5.10,15.73,44.993,2.826,122.26,1.68,1335.180054,112.8
86.73,4.90,16.12,44.594,2.764,122.65,1.78,1301.839966,113.1
88.08,5.20,16.24,44.875,2.613,123.04,1.73,1372.709961,113.8
89.41,5.40,18.75,45.122,2.561,123.37,1.59,1328.719971,113.4
90.46,5.00,20.21,45.340,2.567,123.91,1.79,1320.410034,114
90.91,5.00,22.37,45.472,2.647,124.38,2.13,1282.709961,113.9
90.86,4.80,22.19,45.684,3.107,124.92,2.21,1362.930054,114.3
91.09,4.70,24.22,46.053,2.932,125.48,2.25,1388.910034,115.5
91.70,4.50,25.01,46.600,2.831,126.04,2.23,1469.25,117.1
92.11,5.30,25.21,46.689,2.843,126.60,2.14,1394.459961,118.3
92.23,5.30,27.15,46.686,2.999,127.21,2.16,1366.420044,118.2
92.70,5.00,27.49,47.298,2.864,127.61,1.79,1498.579956,118.4
93.77,4.30,23.45,47.988,2.797,128.05,1.81,1452.430054,119
95.27,4.40,27.23,47.242,2.752,128.42,1.41,1420.599976,118.4
96.89,4.30,29.62,47.473,2.857,128.74,1.30,1454.599976,117.6
98.04,4.60,28.16,47.640,2.816,129.00,0.76,1430.829956,117.1
98.62,4.50,29.41,47.956,2.745,129.47,1.18,1517.680054,116.2
98.97,4.30,32.08,48.306,2.737,129.67,1.05,1436.51001,116.1
99.30,4.20,31.4,48.442,2.700,130.08,1.09,1429.400024,114.7
99.71,4.30,32.33,48.723,2.660,130.35,1.16,1314.949951,112.8
100.00,4.10,25.28,49.455,2.715,130.60,0.93,1320.280029,112.4
100.18,4.80,25.95,49.716,2.655,130.58,-0.07,1366.01001,112.1
100.52,4.70,27.24,50.006,2.619,130.51,-0.54,1239.939941,110.6
101.19,4.50,25.02,50.921,2.630,130.42,-0.95,1160.329956,110.6
102.18,4.10,25.66,51.680,2.605,130.04,-1.24,1249.459961,110.2
